action,render_pose,sample_id,split,skeleton_path,skeleton_orig_path,num_existing_cams,num_existing_skeleton_cams,rgb_cam_0_path,skeleton_cam_0_path,rgb_cam_1_path,skeleton_cam_1_path,rgb_cam_2_path,skeleton_cam_2_path,rgb_cam_3_path,skeleton_cam_3_path,rgb_cam_4_path,skeleton_cam_4_path,rgb_cam_5_path,skeleton_cam_5_path,rgb_cam_6_path,skeleton_cam_6_path,rgb_cam_7_path,skeleton_cam_7_path,mphand_bbox_cam_0_x1,mphand_bbox_cam_0_y1,mphand_bbox_cam_0_x2,mphand_bbox_cam_0_y2,mphand_bbox_cam_1_x1,mphand_bbox_cam_1_y1,mphand_bbox_cam_1_x2,mphand_bbox_cam_1_y2,mphand_bbox_cam_2_x1,mphand_bbox_cam_2_y1,mphand_bbox_cam_2_x2,mphand_bbox_cam_2_y2,mphand_bbox_cam_3_x1,mphand_bbox_cam_3_y1,mphand_bbox_cam_3_x2,mphand_bbox_cam_3_y2,mphand_bbox_cam_4_x1,mphand_bbox_cam_4_y1,mphand_bbox_cam_4_x2,mphand_bbox_cam_4_y2,mphand_bbox_cam_5_x1,mphand_bbox_cam_5_y1,mphand_bbox_cam_5_x2,mphand_bbox_cam_5_y2,mphand_bbox_cam_6_x1,mphand_bbox_cam_6_y1,mphand_bbox_cam_6_x2,mphand_bbox_cam_6_y2,mphand_bbox_cam_7_x1,mphand_bbox_cam_7_y1,mphand_bbox_cam_7_x2,mphand_bbox_cam_7_y2
ok,ok,ok (106),train,./dataset/skeleton_final_v2/ok/ok (106).npy,./dataset/skeleton_final_v2/ok/ok (106).npy,8,8,./renders_ok/ok (106)/ok (106)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam0.npy,./renders_ok/ok (106)/ok (106)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam1.npy,./renders_ok/ok (106)/ok (106)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam2.npy,./renders_ok/ok (106)/ok (106)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam3.npy,./renders_ok/ok (106)/ok (106)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam4.npy,./renders_ok/ok (106)/ok (106)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam5.npy,./renders_ok/ok (106)/ok (106)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam6.npy,./renders_ok/ok (106)/ok (106)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok (106)_cam7.npy,0.3723909556865692,0.285423219203949,0.5216642022132874,0.730008602142334,0.32593202590942383,0.2878934442996979,0.6488032937049866,0.7314538359642029,0.29406559467315674,0.27544718980789185,0.6949362754821777,0.7411103844642639,0.30161920189857483,0.2875988483428955,0.7049416899681091,0.7219730019569397,0.32196375727653503,0.2779882848262787,0.7026286125183105,0.7261980772018433,0.38599592447280884,0.2864946126937866,0.6479095220565796,0.7294567227363586,0.48638227581977844,0.29118865728378296,0.6096575856208801,0.7521551847457886,0.45893430709838867,0.2795800566673279,0.6083256602287292,0.7634000182151794
ok,ok,ok_6986,train,./dataset/skeleton_final_v2/ok/ok_6986.npy,./dataset/skeleton_final_v2/ok/ok_6986.npy,8,8,./renders_ok/ok_6986/ok_6986_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam0.npy,./renders_ok/ok_6986/ok_6986_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam1.npy,./renders_ok/ok_6986/ok_6986_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam2.npy,./renders_ok/ok_6986/ok_6986_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam3.npy,./renders_ok/ok_6986/ok_6986_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam4.npy,./renders_ok/ok_6986/ok_6986_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam5.npy,./renders_ok/ok_6986/ok_6986_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam6.npy,./renders_ok/ok_6986/ok_6986_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_6986_cam7.npy,0.3758116662502289,0.2729395627975464,0.5120205283164978,0.7002893686294556,0.335388720035553,0.278229296207428,0.6427477598190308,0.7137186527252197,0.2940014600753784,0.2712765038013458,0.6866798400878906,0.7219916582107544,0.30515843629837036,0.27908703684806824,0.693170964717865,0.7101171016693115,0.3173941969871521,0.27193960547447205,0.6804343461990356,0.7175934910774231,0.38222017884254456,0.2811729907989502,0.6400081515312195,0.7235138416290283,0.4624098539352417,0.27978283166885376,0.6165288090705872,0.7567030191421509,0.4650374948978424,0.2745490074157715,0.624624490737915,0.763407289981842
ok,ok,ok_2629,train,./dataset/skeleton_final_v2/ok/ok_2629.npy,./dataset/skeleton_final_v2/ok/ok_2629.npy,8,8,./renders_ok/ok_2629/ok_2629_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam0.npy,./renders_ok/ok_2629/ok_2629_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam1.npy,./renders_ok/ok_2629/ok_2629_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam2.npy,./renders_ok/ok_2629/ok_2629_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam3.npy,./renders_ok/ok_2629/ok_2629_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam4.npy,./renders_ok/ok_2629/ok_2629_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam5.npy,./renders_ok/ok_2629/ok_2629_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam6.npy,./renders_ok/ok_2629/ok_2629_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2629_cam7.npy,0.37085869908332825,0.26787614822387695,0.5091578364372253,0.7059007883071899,0.3488195538520813,0.28469690680503845,0.6339979767799377,0.7143541574478149,0.31978851556777954,0.2682841122150421,0.6770724654197693,0.726172924041748,0.3239579200744629,0.2674817740917206,0.6847003102302551,0.7179725766181946,0.32896578311920166,0.27218300104141235,0.682956337928772,0.7171434164047241,0.37718725204467773,0.27650144696235657,0.6406677961349487,0.7391829490661621,0.4552609324455261,0.278425008058548,0.6204858422279358,0.7624061107635498,0.4791215658187866,0.27380451560020447,0.6301316022872925,0.766923725605011
ok,ok,ok_5253,train,./dataset/skeleton_final_v2/ok/ok_5253.npy,./dataset/skeleton_final_v2/ok/ok_5253.npy,8,8,./renders_ok/ok_5253/ok_5253_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam0.npy,./renders_ok/ok_5253/ok_5253_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam1.npy,./renders_ok/ok_5253/ok_5253_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam2.npy,./renders_ok/ok_5253/ok_5253_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam3.npy,./renders_ok/ok_5253/ok_5253_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam4.npy,./renders_ok/ok_5253/ok_5253_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam5.npy,./renders_ok/ok_5253/ok_5253_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam6.npy,./renders_ok/ok_5253/ok_5253_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_5253_cam7.npy,0.3880155086517334,0.2850816547870636,0.5259099006652832,0.7128622531890869,0.34416553378105164,0.29664042592048645,0.6413542032241821,0.7330846786499023,0.32600903511047363,0.2883961796760559,0.6702171564102173,0.7368391156196594,0.32804766297340393,0.29056715965270996,0.6702620387077332,0.7203481197357178,0.3486194610595703,0.2930145263671875,0.6651479005813599,0.7236670255661011,0.3965809941291809,0.29563331604003906,0.605180025100708,0.7287917733192444,0.4692332446575165,0.2935468852519989,0.6001428961753845,0.748119592666626,0.45491552352905273,0.2940136194229126,0.6045637726783752,0.7636488676071167
ok,ok,ok_2896,train,./dataset/skeleton_final_v2/ok/ok_2896.npy,./dataset/skeleton_final_v2/ok/ok_2896.npy,8,8,./renders_ok/ok_2896/ok_2896_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam0.npy,./renders_ok/ok_2896/ok_2896_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam1.npy,./renders_ok/ok_2896/ok_2896_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam2.npy,./renders_ok/ok_2896/ok_2896_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam3.npy,./renders_ok/ok_2896/ok_2896_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam4.npy,./renders_ok/ok_2896/ok_2896_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam5.npy,./renders_ok/ok_2896/ok_2896_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam6.npy,./renders_ok/ok_2896/ok_2896_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_2896_cam7.npy,0.35897642374038696,0.34943342208862305,0.52085280418396,0.7311773896217346,0.32402303814888,0.281106561422348,0.6412287354469299,0.7248148918151855,0.3050950765609741,0.2776428759098053,0.6836150884628296,0.7272813320159912,0.3123050928115845,0.27890223264694214,0.685992956161499,0.7177300453186035,0.32061606645584106,0.2779930830001831,0.6768295764923096,0.7109676599502563,0.38266634941101074,0.2811430096626282,0.6258818507194519,0.735849142074585,0.47939765453338623,0.2998046278953552,0.6162983179092407,0.7626434564590454,0.45443761348724365,0.2760305404663086,0.6095418930053711,0.7622328400611877
ok,ok,ok (20),train,./dataset/skeleton_final_v2/ok/ok (20).npy,./dataset/skeleton_final_v2/ok/ok (20).npy,8,8,./renders_ok/ok (20)/ok (20)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam0.npy,./renders_ok/ok (20)/ok (20)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam1.npy,./renders_ok/ok (20)/ok (20)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam2.npy,./renders_ok/ok (20)/ok (20)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam3.npy,./renders_ok/ok (20)/ok (20)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam4.npy,./renders_ok/ok (20)/ok (20)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam5.npy,./renders_ok/ok (20)/ok (20)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam6.npy,./renders_ok/ok (20)/ok (20)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok (20)_cam7.npy,0.38413870334625244,0.29024797677993774,0.5189443826675415,0.7144230008125305,0.33459383249282837,0.2931848466396332,0.6473296284675598,0.7134759426116943,0.3123845160007477,0.28310394287109375,0.6783802509307861,0.7307581901550293,0.3212108016014099,0.2856375575065613,0.6811498999595642,0.7193467617034912,0.3334559500217438,0.28651538491249084,0.667705774307251,0.7186070680618286,0.38691446185112,0.2919865846633911,0.6237643361091614,0.7277917265892029,0.48100364208221436,0.2839643955230713,0.603119969367981,0.7510212063789368,0.4580914378166199,0.28493088483810425,0.6089768409729004,0.763146698474884
ok,ok,ok_Set2_ (215),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (215).npy,./dataset/skeleton_final_v2/ok/ok_Set2_ (215).npy,8,8,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam0.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam1.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam2.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam3.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam4.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam5.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam6.npy,./renders_ok/ok_Set2_ (215)/ok_Set2_ (215)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (215)_cam7.npy,0.37325119972229004,0.29224899411201477,0.5317413806915283,0.718022882938385,0.3163328170776367,0.2978461980819702,0.6433281302452087,0.7445290088653564,0.3278891444206238,0.29054898023605347,0.6693795919418335,0.7390936613082886,0.3363707363605499,0.288088321685791,0.6686413288116455,0.7183322906494141,0.35134610533714294,0.28758734464645386,0.6553349494934082,0.7194527387619019,0.3948725759983063,0.29357287287712097,0.6066825985908508,0.7497116327285767,0.4780934154987335,0.2789265215396881,0.601925790309906,0.7528597712516785,0.45162245631217957,0.2920343577861786,0.6153469681739807,0.7595512866973877
ok,ok,ok_Set2_ (117),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (117).npy,./dataset/skeleton_final_v2/ok/ok_Set2_ (117).npy,8,8,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam0.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam1.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam2.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam3.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam4.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam5.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam6.npy,./renders_ok/ok_Set2_ (117)/ok_Set2_ (117)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (117)_cam7.npy,0.32928168773651123,0.4089546501636505,0.5674272179603577,0.7138053774833679,0.331057608127594,0.27992695569992065,0.6356115341186523,0.7174531817436218,0.329315185546875,0.28311887383461,0.6523559093475342,0.7101375460624695,0.3293749690055847,0.2829782962799072,0.6481761932373047,0.7006266713142395,0.34486374258995056,0.2855932116508484,0.6450657844543457,0.7275238633155823,0.4005436599254608,0.280948281288147,0.6254717111587524,0.7228659391403198,0.4620903730392456,0.2860063314437866,0.6443448662757874,0.754935085773468,0.417650043964386,0.27403080463409424,0.6633516550064087,0.7687827348709106
ok,ok,ok (203),train,./dataset/skeleton_final_v2/ok/ok (203).npy,./dataset/skeleton_final_v2/ok/ok (203).npy,8,8,./renders_ok/ok (203)/ok (203)_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam0.npy,./renders_ok/ok (203)/ok (203)_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam1.npy,./renders_ok/ok (203)/ok (203)_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam2.npy,./renders_ok/ok (203)/ok (203)_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam3.npy,./renders_ok/ok (203)/ok (203)_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam4.npy,./renders_ok/ok (203)/ok (203)_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam5.npy,./renders_ok/ok (203)/ok (203)_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam6.npy,./renders_ok/ok (203)/ok (203)_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok (203)_cam7.npy,0.3697583079338074,0.2906395196914673,0.5205049514770508,0.7393483519554138,0.3193763494491577,0.2972579300403595,0.6479454636573792,0.7207013368606567,0.29908251762390137,0.29044097661972046,0.6937745809555054,0.7279142141342163,0.30846869945526123,0.2908616065979004,0.7061116099357605,0.7143610119819641,0.3187522292137146,0.29822468757629395,0.6980322003364563,0.714066207408905,0.3811531066894531,0.303117573261261,0.6393747925758362,0.714862048625946,0.48132383823394775,0.2954453229904175,0.6051070690155029,0.7436312437057495,0.4558384418487549,0.2880983352661133,0.6137037873268127,0.7499148845672607
ok,ok,ok_1580,train,./dataset/skeleton_final_v2/ok/ok_1580.npy,./dataset/skeleton_final_v2/ok/ok_1580.npy,8,8,./renders_ok/ok_1580/ok_1580_cam_00.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam0.npy,./renders_ok/ok_1580/ok_1580_cam_01.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam1.npy,./renders_ok/ok_1580/ok_1580_cam_02.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam2.npy,./renders_ok/ok_1580/ok_1580_cam_03.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam3.npy,./renders_ok/ok_1580/ok_1580_cam_04.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam4.npy,./renders_ok/ok_1580/ok_1580_cam_05.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam5.npy,./renders_ok/ok_1580/ok_1580_cam_06.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam6.npy,./renders_ok/ok_1580/ok_1580_cam_07.png,./dataset/salux_multiview3d_8cam_front/ok/ok_1580_cam7.npy,0.3837295472621918,0.2789718806743622,0.5201241970062256,0.7105522155761719,0.3434479832649231,0.2907993197441101,0.641887903213501,0.7184370160102844,0.32054609060287476,0.2791418433189392,0.677122175693512,0.7349134087562561,0.32194799184799194,0.2980007529258728,0.6769405603408813,0.7243080735206604,0.3381240963935852,0.2834654450416565,0.666053295135498,0.7180300951004028,0.3906064033508301,0.28979867696762085,0.6197295188903809,0.7388247847557068,0.47353172302246094,0.2772086262702942,0.6086969375610352,0.754418671131134,0.457235723733902,0.28530457615852356,0.6119997501373291,0.7628358006477356
